"company_id","shareholder_id"
"DE-FTT-716277",1
"ES-EMQ-319208",1
"GB-TDI-448799",1
"NO-MSI-983820",1
"UA-IWT-764180",1
"DE-FEI-236651",2
"DE-TCI-824729",2
"GB-EXO-326459",2
"IT-BTB-857896",2
"RU-AGW-290494",2
"RU-SNF-819623",2
"UA-REV-183668",2
"GB-PGR-265834",3
"GR-DUM-534185",3
"NO-MSI-983820",3
"PL-3FH-280058",3
"RO-CMD-837076",3
"GB-CBA-886683",4
"GR-DUM-534185",4
"RS-HDN-717592",4
"RU-MOT-897893",4
"BG-TIC-119777",5
"LT-RNS-168984",5
"PL-SDR-195740",5
"DE-TPA-874034",6
"ES-IYF-959879",6
"RU-BSA-915226",6
"CH-ELA-646716",7
"DE-ATF-423109",8
"RU-LOV-726621",8
"RU-OCO-963076",8
"UA-AJA-935443",8
"DE-THT-699156",9
"RU-MPI-622201",9
"GB-1XX-977806",10
"PL-HOM-247526",10
"RS-DOO-232419",10
"UA-RFI-326760",10
"FR-ITW-179844",11
"IE-TWT-435819",11
"RU-BDB-149995",11
"RU-BIT-641141",11
"ES-4DE-741537",12
"RU-ESH-122359",12
"RU-SOT-422534",12
"BY-LIS-848091",13
"DE-TBO-328344",13
"RU-ASA-304462",13
"GB-NAN-491704",14
"PL-BGI-238812",14
"RU-AEO-327103",14
"RU-LZI-571123",14
"DE-SAN-206042",15
"RU-IRA-512562",15
"ES-BTR-416544",16
"FR-HHU-375623",16
"RU-POB-448861",16
"FR-ITW-179844",17
"RU-BOT-746129",17
"ES-RIS-408332",18
"FR-KOT-621289",18
"DE-ARU-233436",19
"DE-WAL-133432",19
"MD-BAT-454391",19
"UA-AJA-935443",19
"GB-FHO-155437",20
"RU-BDB-149995",20
"RU-TCA-108989",20
"DE-MSK-375153",21
"ES-OB4-889153",21
"SK-TRA-454715",21
"BA-CAD-147381",22
"FI-DOS-140155",22
"FR-HDO-349256",22
"RU-NFR-696385",22
"HU-6LS-982195",23
"NL-WTS-122784",23
"RO-CMD-837076",23
"RU-DIS-289725",23
"RU-PLI-594922",23
"ES-XXX-737676",24
"PL-HOM-247526",24
"RO-ABR-546213",24
"RU-DGE-880046",24
"BE-GRA-946833",25
"GB-FHO-155437",25
"NO-SCO-641719",25
"SK-TRA-454715",25
"DE-FEI-236651",26
"FR-TMM-973327",26
"RU-BFA-424299",26
"RU-CTH-807283",26
"RU-RAM-235343",26
"DE-AFD-486285",27
"DE-BLO-358828",27
"DE-CWO-248975",27
"DE-TCI-824729",27
"ES-BBA-402355",27
"LT-RNS-168984",27
"PL-CAS-591508",27
"UA-TCH-628237",27
"FR-STI-442645",28
"PT-TSR-953035",28
"RU-OIA-235814",28
"DE-ARO-587575",29
"RU-MAU-439970",29
"UA-TCH-628237",29
"DE-MOM-167396",30
"FR-HDO-349256",30
"NL-HOL-596118",30
"UA-AJA-935443",30
"ES-AST-619513",31
"RU-ASA-304462",31
"DE-COR-550947",32
"DE-WAL-133432",32
