"company_id","film_movie_code"
"BG-BOT-940919","79ff2dc7-eca3-11ee-9436-5820b1dc38a4"
"RU-ATM-816232","79ff2dc7-eca3-11ee-9436-5820b1dc38a4"
"ES-RDI-718028","7a1a9527-eca3-11ee-9436-5820b1dc38a4"
"ES-RDI-718028","7a1ad243-eca3-11ee-9436-5820b1dc38a4"
"DE-TIN-907581","7a1b0c55-eca3-11ee-9436-5820b1dc38a4"
"ES-EWA-786086","7a1b45f7-eca3-11ee-9436-5820b1dc38a4"
"RO-PMO-847190","7a1b45f7-eca3-11ee-9436-5820b1dc38a4"
"RO-TRA-470014","7a1b45f7-eca3-11ee-9436-5820b1dc38a4"
"FR-HDO-349256","7a1ba39e-eca3-11ee-9436-5820b1dc38a4"
"ES-BLI-661584","7a1c111e-eca3-11ee-9436-5820b1dc38a4"
"RU-EBA-434047","7a1c74d3-eca3-11ee-9436-5820b1dc38a4"
"DE-MMA-346396","7a471bd3-eca3-11ee-9436-5820b1dc38a4"
"GB-APR-670548","7a471bd3-eca3-11ee-9436-5820b1dc38a4"
"RU-BLA-713991","7a471bd3-eca3-11ee-9436-5820b1dc38a4"
"AL-DOT-123669","7a774c90-eca3-11ee-9436-5820b1dc38a4"
"ES-GOO-221536","7a774c90-eca3-11ee-9436-5820b1dc38a4"
"RU-LTT-508757","7a774c90-eca3-11ee-9436-5820b1dc38a4"
"DE-TOM-773438","7a780011-eca3-11ee-9436-5820b1dc38a4"
"ES-4DE-741537","7a780011-eca3-11ee-9436-5820b1dc38a4"
"MK-CUR-877444","7a780011-eca3-11ee-9436-5820b1dc38a4"
"DE-NEV-433398","7a794058-eca3-11ee-9436-5820b1dc38a4"
"RU-TBA-190700","7a794058-eca3-11ee-9436-5820b1dc38a4"
"DE-COR-550947","7a79cbf3-eca3-11ee-9436-5820b1dc38a4"
"RO-ALS-109141","7a7a5ebc-eca3-11ee-9436-5820b1dc38a4"
"UA-AJA-935443","7a7a5ebc-eca3-11ee-9436-5820b1dc38a4"
